Time;f60_US_TX01;QI_US_TX01
2019-05-15 04:38:39;16.2409;0
2019-05-15 04:38:40;15.9542;0
2019-05-15 04:38:41;15.0907;0
2019-05-15 04:38:42;14.5416;0
2019-05-15 04:38:43;14.9709;0
2019-05-15 04:38:44;14.7331;0
2019-05-15 04:38:45;14.3013;0
2019-05-15 04:38:46;13.2621;0
2019-05-15 04:38:47;12.2862;0
2019-05-15 04:38:48;11.1672;0
2019-05-15 04:38:49;10.008;0
2019-05-15 04:38:50;8.63375;0
2019-05-15 04:38:51;7.44927;0
2019-05-15 04:38:52;7.54246;0
2019-05-15 04:38:53;8.23675;0
2019-05-15 04:38:54;8.76674;0
2019-05-15 04:38:55;10.841;0
2019-05-15 04:38:56;13.0627;0
2019-05-15 04:38:57;14.6612;0
2019-05-15 04:38:58;15.4907;0
2019-05-15 04:38:59;16.8754;0
2019-05-15 04:39:00;18.1249;0
2019-05-15 04:39:01;16.7846;0
2019-05-15 04:39:02;13.8107;0
2019-05-15 04:39:03;11.9184;0
2019-05-15 04:39:04;10.0638;0
2019-05-15 04:39:05;8.74624;0
2019-05-15 04:39:06;7.5849;0
2019-05-15 04:39:07;7.09934;0
2019-05-15 04:39:08;6.41224;0
2019-05-15 04:39:09;6.59214;0
2019-05-15 04:39:10;7.07105;0
2019-05-15 04:39:11;7.3669;0
2019-05-15 04:39:12;7.59886;0
2019-05-15 04:39:13;8.4028;0
2019-05-15 04:39:14;9.2689;0
2019-05-15 04:39:15;10.0945;0
2019-05-15 04:39:16;11.8085;0
2019-05-15 04:39:17;13.2205;0
2019-05-15 04:39:18;14.2544;0
2019-05-15 04:39:19;14.9541;0
2019-05-15 04:39:20;14.7076;0
2019-05-15 04:39:21;14.294;0
2019-05-15 04:39:22;14.2825;0
2019-05-15 04:39:23;15.1821;0
2019-05-15 04:39:24;16.2966;0
2019-05-15 04:39:25;16.4868;0
2019-05-15 04:39:26;16.0039;0
2019-05-15 04:39:27;15.7942;0
2019-05-15 04:39:28;15.6137;0
2019-05-15 04:39:29;14.9625;0
2019-05-15 04:39:30;14.5129;0
2019-05-15 04:39:31;15.3101;0
2019-05-15 04:39:32;15.256;0
2019-05-15 04:39:33;14.2376;0
2019-05-15 04:39:34;13.6349;0
2019-05-15 04:39:35;12.8312;0
2019-05-15 04:39:36;11.2628;0
2019-05-15 04:39:37;9.68529;0
2019-05-15 04:39:38;8.35564;0
2019-05-15 04:39:39;7.22751;0
2019-05-15 04:39:40;7.45441;0
2019-05-15 04:39:41;7.80859;0
2019-05-15 04:39:42;8.09498;0
2019-05-15 04:39:43;8.4961;0
2019-05-15 04:39:44;8.32786;0
2019-05-15 04:39:45;8.27968;0
2019-05-15 04:39:46;7.67475;0
2019-05-15 04:39:47;7.58556;0
2019-05-15 04:39:48;7.24261;0
2019-05-15 04:39:49;7.18818;0
2019-05-15 04:39:50;7.50446;0
2019-05-15 04:39:51;7.77081;0
2019-05-15 04:39:52;7.50439;0
2019-05-15 04:39:53;7.87184;0
2019-05-15 04:39:54;7.56621;0
2019-05-15 04:39:55;6.73232;0
2019-05-15 04:39:56;6.19144;0
2019-05-15 04:39:57;7.29274;0
2019-05-15 04:39:58;9.69535;0
2019-05-15 04:39:59;12.2325;0
2019-05-15 04:40:00;15.373;0
2019-05-15 04:40:01;18.6253;0
2019-05-15 04:40:02;19.823;0
2019-05-15 04:40:03;20.1558;0
2019-05-15 04:40:04;19.5267;0
2019-05-15 04:40:05;18.1903;0
2019-05-15 04:40:06;15.3145;0
2019-05-15 04:40:07;15.2609;0
2019-05-15 04:40:08;17.1194;0
2019-05-15 04:40:09;17.8702;0
2019-05-15 04:40:10;16.6112;0
2019-05-15 04:40:11;15.4492;0
2019-05-15 04:40:12;14.3668;0
2019-05-15 04:40:13;13.244;0
2019-05-15 04:40:14;12.7827;0
2019-05-15 04:40:15;11.9045;0
2019-05-15 04:40:16;11.7548;0
2019-05-15 04:40:17;11.2703;0
2019-05-15 04:40:18;10.2129;0
2019-05-15 04:40:19;9.03601;0
2019-05-15 04:40:20;8.71266;0
2019-05-15 04:40:21;8.8016;0
2019-05-15 04:40:22;9.94283;0
2019-05-15 04:40:23;10.8964;0
2019-05-15 04:40:24;10.6691;0
2019-05-15 04:40:25;10.1674;0
2019-05-15 04:40:26;12.6216;0
2019-05-15 04:40:27;15.5202;0
2019-05-15 04:40:28;17.3664;0
2019-05-15 04:40:29;18.4253;0
2019-05-15 04:40:30;18.0887;0
2019-05-15 04:40:31;16.4813;0
2019-05-15 04:40:32;14.8598;0
2019-05-15 04:40:33;13.4379;0
2019-05-15 04:40:34;12.9017;0
2019-05-15 04:40:35;13.0181;0
2019-05-15 04:40:36;13.3323;0
2019-05-15 04:40:37;13.7745;0
2019-05-15 04:40:38;14.5671;0
2019-05-15 04:40:39;15.5202;0
2019-05-15 04:40:40;16.0032;0
2019-05-15 04:40:41;15.8989;0
2019-05-15 04:40:42;16.0177;0
2019-05-15 04:40:43;14.6541;0
2019-05-15 04:40:44;11.95;0
2019-05-15 04:40:45;9.28397;0
2019-05-15 04:40:46;7.57308;0
2019-05-15 04:40:47;7.6342;0
2019-05-15 04:40:48;7.32196;0
2019-05-15 04:40:49;7.72832;0
2019-05-15 04:40:50;8.46883;0
2019-05-15 04:40:51;9.04163;0
2019-05-15 04:40:52;9.62947;0
2019-05-15 04:40:53;12.6333;0
2019-05-15 04:40:54;15.2141;0
2019-05-15 04:40:55;17.3134;0
2019-05-15 04:40:56;18.3655;0
2019-05-15 04:40:57;18.9321;0
2019-05-15 04:40:58;18.9618;0
2019-05-15 04:40:59;18.092;0
2019-05-15 04:41:00;16.7407;0
2019-05-15 04:41:01;14.8622;0
2019-05-15 04:41:02;12.5388;0
2019-05-15 04:41:03;10.4171;0
2019-05-15 04:41:04;9.25266;0
2019-05-15 04:41:05;9.18066;0
2019-05-15 04:41:06;11.1855;0
2019-05-15 04:41:07;13.5252;0
2019-05-15 04:41:08;14.7295;0
2019-05-15 04:41:09;15.6944;0
2019-05-15 04:41:10;17.04;0
2019-05-15 04:41:11;17.7377;0
2019-05-15 04:41:12;16.7989;0
2019-05-15 04:41:13;15.0407;0
2019-05-15 04:41:14;12.1762;0
2019-05-15 04:41:15;9.85136;0
